name,instructions
Citalopram,"Important warning: Antidepressants including citalopram may increase the risk of suicidal thoughts and actions in children, adolescents, and young adults, especially during the first months of treatment or when the dose is changed. Watch for sudden changes in mood, behavior, thoughts, or feelings and contact a doctor right away if these occur. Citalopram can also cause changes in heart rhythm called QT prolongation. Why is this medication prescribed? Citalopram is a selective serotonin reuptake inhibitor used to treat depression and sometimes other conditions as determined by your doctor. How should this medicine be used? Take by mouth once daily with or without food at the same time each day. Your doctor may start at a low dose and adjust gradually. Do not stop suddenly without medical guidance. What special precautions should I follow? Tell your doctor if you have heart problems, long QT syndrome, low potassium or magnesium, liver disease, seizures, bleeding problems, or a history of bipolar disorder or mania. Provide a full list of all medicines and supplements. Do not use with monoamine oxidase inhibitors, linezolid, or methylene blue. Avoid other medicines that prolong the QT interval or increase serotonin unless approved by your doctor. Citalopram can cause low sodium levels, especially in older adults or if you take diuretics. Use caution with alcohol and activities requiring alertness. What special dietary instructions should I follow? There are no specific foods you must avoid. Avoid alcohol if it worsens side effects. Do not use St Johns wort without discussing with your doctor. What should I do if I forget a dose? Take the missed dose as soon as you remember on the same day. If it is almost time for your next dose, skip the missed dose. Do not take two doses at the same time. What side effects can this medication cause? Common effects include nausea, dry mouth, sleepiness or insomnia, increased sweating, tremor, diarrhea or constipation, and sexual side effects such as decreased libido or difficulty reaching orgasm. Serious effects include suicidal thoughts or behavior, serotonin syndrome with agitation, fever, fast heartbeat, or stiff muscles, abnormal heart rhythm with dizziness or fainting, severe low sodium with confusion or seizures, and unusual bleeding or bruising."
Cladribine,"Important warning: Cladribine tablets increase the risk of cancer and can cause harm to an unborn baby. Do not use if you are pregnant or if you have active cancer. Use effective contraception during treatment and for at least six months after the last dose, and men should also use reliable contraception during this time. Cladribine lowers lymphocytes and increases the risk of serious infections. Why is this medication prescribed? Oral cladribine is a disease modifying therapy used to treat adults with relapsing forms of multiple sclerosis when other treatments have not been effective or are not appropriate. How should this medicine be used? It is taken by mouth in short treatment cycles during two annual courses. The dose is based on body weight. Swallow tablets whole with water and dry hands before and after handling. Follow the exact schedule given by your prescriber. Do not take more than the prescribed number of tablets in a day and keep doses separated from other oral medicines as directed by your doctor. What special precautions should I follow? Before starting, you will be screened for pregnancy, cancers, and infections such as hepatitis, tuberculosis, and HIV, and for immunity to varicella. Do not receive live vaccines during treatment or until your doctor says your immune system has recovered. Tell your doctor about all medicines and supplements, especially other medicines that affect the immune system. Report signs of infection such as fever, shingles rash, or persistent cough. Your blood counts and liver function will be monitored. Do not breastfeed during treatment and for the time your doctor advises after the last dose of each treatment cycle. What special dietary instructions should I follow? There are no specific dietary requirements. Stay well hydrated and avoid excessive alcohol. What should I do if I forget a dose? If you miss a dose during a treatment cycle, contact your prescriber for instructions. Do not take two doses at once. What side effects can this medication cause? Common effects include headache, nausea, fatigue, hair thinning, rash, and decreased lymphocyte counts. Serious effects include shingles or other infections, very low white blood cell counts, liver problems with yellowing of the skin or eyes or dark urine, and the development of cancers."
Cladribine Injection,"Important warning: Cladribine injection can cause severe bone marrow suppression that increases the risk of serious and sometimes fatal infections and bleeding. It can also cause harmful effects to an unborn baby. It must be given by experienced healthcare professionals with careful monitoring. Why is this medication prescribed? Cladribine injection is used to treat hairy cell leukemia and may be used for certain other blood cancers as directed by a specialist. How should this medicine be used? It is given by intravenous infusion by a healthcare professional, often as a continuous infusion over several days or as daily infusions depending on the regimen. You will have regular blood tests and may receive preventive antibiotics or antivirals. What special precautions should I follow? Tell your doctor about all medical conditions, including kidney or liver disease, infections, and any prior chemotherapy or radiation. Provide a full list of medicines and supplements. Avoid live vaccines during and after treatment until your doctor says it is safe. Use effective contraception during treatment and for the time advised after the last dose. Call your doctor right away for fever, chills, shortness of breath, unusual bleeding or bruising, or new neurological symptoms. What special dietary instructions should I follow? There are no specific dietary restrictions. Maintain adequate fluid intake unless you are told otherwise. What should I do if I forget a dose? Contact your oncology team immediately to arrange the next dose. Do not attempt to self administer unless you have been trained and instructed to do so. What side effects can this medication cause? Common effects include fever, fatigue, nausea, rash, and low blood counts leading to anemia, infection, or bleeding. Serious effects include severe infections including opportunistic infections, infusion reactions, kidney or liver problems, and neurological effects such as confusion, drowsiness, or seizures at high exposures."
Clarithromycin,"Important warning: Clarithromycin may increase the risk of heart problems or death in people with existing heart disease and can cause abnormal heart rhythms, especially when combined with other medicines that affect the heart or the enzyme CYP3A4. It also has serious and sometimes life threatening interactions with certain medicines. Why is this medication prescribed? Clarithromycin is an antibiotic used to treat bacterial infections such as pneumonia, bronchitis, sinusitis, skin infections, and in combination therapies for Helicobacter pylori related ulcers. It is also used to prevent or treat certain mycobacterial infections. How should this medicine be used? Take exactly as directed. Immediate release tablets or suspension can be taken with or without food. Extended release tablets should be taken with food and swallowed whole. Shake suspension well before measuring. Take doses at evenly spaced times and complete the full course even if you feel better. What special precautions should I follow? Tell your doctor if you have heart rhythm problems, long QT syndrome, low potassium or magnesium, liver disease, kidney disease, or myasthenia gravis. Provide a complete list of all medicines and supplements. Do not take clarithromycin with certain medicines including cisapride, pimozide, ergot alkaloids, lovastatin, or simvastatin. Use caution with blood thinners, colchicine, calcium channel blockers, antiarrhythmics, benzodiazepines, carbamazepine, digoxin, theophylline, and other medicines that can prolong the QT interval. Stop and seek care if you develop yellowing of the skin or eyes, dark urine, severe abdominal pain, or fast or irregular heartbeat. What special dietary instructions should I follow? There are no specific foods you must avoid. Take extended release tablets with food. Avoid alcohol if it worsens stomach upset. What should I do if I forget a dose? Take the missed dose as soon as you remember unless it is almost time for the next dose. If it is close to the next dose, skip the missed dose. Do not take two doses at the same time. What side effects can this medication cause? Common effects include nausea, vomiting, diarrhea, abdominal pain, taste changes, and headache. Serious effects include liver problems, severe allergic reactions, Clostridioides difficile associated diarrhea with watery or bloody stools, hearing changes, and abnormal heart rhythms."
Clemastine,"Why is this medication prescribed? Clemastine is an antihistamine used to relieve symptoms of allergic rhinitis such as sneezing, runny nose, and itching, and to treat hives. How should this medicine be used? Take by mouth exactly as directed, usually once or twice daily. It may be taken with or without food. Do not exceed the recommended dose. This medicine can cause drowsiness, so consider taking at bedtime if advised by your doctor. What special precautions should I follow? Tell your doctor if you have glaucoma, enlarged prostate, urinary retention, breathing problems such as asthma, thyroid disease, high blood pressure, or if you are older. Avoid alcohol and other medicines that cause drowsiness unless your doctor says it is safe. Do not drive or operate machinery until you know how this medicine affects you. Discuss use during pregnancy or breastfeeding with your doctor. What special dietary instructions should I follow? There are no specific dietary restrictions. Avoid alcohol because it can increase drowsiness. What should I do if I forget a dose? Take the missed dose as soon as you remember unless it is almost time for your next dose. If it is close to your next dose, skip the missed dose. Do not take two doses at the same time. What side effects can this medication cause? Common effects include drowsiness, dry mouth, blurred vision, constipation, and difficulty urinating. Some people, especially children, may experience restlessness or excitement. Serious effects include confusion, fast heartbeat, or trouble urinating that does not improve."
Clindamycin,"Important warning: Clindamycin can cause severe diarrhea and colitis due to Clostridioides difficile that can occur during treatment or even weeks after it ends. This can be life threatening. Stop clindamycin and contact your doctor right away if you develop watery or bloody stools or severe abdominal pain. Why is this medication prescribed? Clindamycin is an antibiotic used to treat serious bacterial infections of the skin and soft tissue, bone and joints, lungs, abdomen, female reproductive organs, and dental infections. How should this medicine be used? Take by mouth exactly as directed and for the full prescribed course. Capsules and liquid are usually taken three or four times daily. Take each dose with a full glass of water. You may take it with food if it upsets your stomach. What special precautions should I follow? Tell your doctor if you have a history of colitis, gastrointestinal disease, liver or kidney problems, or allergies to clindamycin or lincomycin. Provide a list of all medicines and supplements. Tell your doctor if you are pregnant or breastfeeding. Do not use anti diarrhea medicines without medical advice if you develop diarrhea while taking clindamycin. What special dietary instructions should I follow? There are no specific dietary restrictions. Stay hydrated and you may take doses with food to reduce stomach upset. What should I do if I forget a dose? Take the missed dose as soon as you remember unless it is almost time for your next dose. If it is close to the next dose, skip the missed dose. Do not take two doses at the same time. What side effects can this medication cause? Common effects include nausea, vomiting, diarrhea, abdominal pain, and an unpleasant or metallic taste. Serious effects include severe diarrhea or colitis, signs of liver problems such as yellowing of the skin or eyes or dark urine, severe skin reactions, and allergic reactions with rash, swelling, or trouble breathing."
Clindamycin Injection,"Important warning: Clindamycin can cause severe diarrhea and colitis due to Clostridioides difficile that can occur during treatment or weeks after it ends. This can be life threatening. Report watery or bloody stools or severe abdominal pain immediately. Why is this medication prescribed? Clindamycin injection is used to treat serious bacterial infections when oral therapy is not appropriate, including infections of the abdomen, pelvis, skin and soft tissues, bones and joints, and the blood. How should this medicine be used? It is given by a healthcare professional by intravenous infusion or intramuscular injection at prescribed intervals. If you receive home infusions, use only as instructed by your care team and do not mix or change rates without guidance. Complete the full course. What special precautions should I follow? Tell your doctor if you have a history of colitis, gastrointestinal disease, liver or kidney problems, or allergies to clindamycin or lincomycin. Provide a full list of medicines and supplements. Rapid intravenous administration can cause low blood pressure, so infusions are given over the recommended time. Do not use anti diarrhea medicines without medical advice if you develop diarrhea. What special dietary instructions should I follow? There are no specific dietary restrictions. Maintain adequate hydration. What should I do if I forget a dose? If you miss an appointment for an injection or infusion, contact your clinic as soon as possible to reschedule. For home infusions, follow your care teams instructions and do not double doses. What side effects can this medication cause? Common effects include pain or irritation at the injection site, vein irritation, nausea, vomiting, diarrhea, and rash. Serious effects include severe diarrhea or colitis, allergic reactions with hives or trouble breathing, liver problems, and very low white blood cell counts."
Clioquinol Topical,"Why is this medication prescribed? Clioquinol topical is used on the skin to treat certain bacterial and fungal skin infections and eczema with secondary infection. How should this medicine be used? Apply a thin layer to the affected area of skin as directed, usually two or three times daily. For external use only. Avoid contact with the eyes, mouth, and inside the nose. Do not use on large areas, on broken skin, or under occlusive dressings unless your doctor tells you to. Wash hands after applying. What special precautions should I follow? Tell your doctor if you are allergic to iodine, hydroxyquinolines, or any ingredients in the product, and if you have thyroid problems. This medicine can discolor skin, hair, nails, and clothing. Prolonged or excessive use can increase the chance of side effects. Do not use on deep or serious skin infections. Discuss use during pregnancy or breastfeeding with your doctor. What special dietary instructions should I follow? There are no dietary restrictions for this topical medicine. What should I do if I forget a dose? Apply it as soon as you remember. If it is almost time for the next application, skip the missed one and resume your regular schedule. Do not apply extra to make up for a missed dose. What side effects can this medication cause? Common effects include mild burning, stinging, itching, dryness, or redness at the application site, and temporary discoloration of the skin. Serious reactions are uncommon but include severe irritation or allergic contact dermatitis. Stop using and contact your doctor if severe irritation, swelling, or a rash develops."
Clobazam,"Important warning: Clobazam is a benzodiazepine. Taking it with opioids can cause extreme sleepiness, slowed or difficult breathing, coma, and death. Benzodiazepines can cause misuse, abuse, addiction, physical dependence, and severe withdrawal reactions. Do not stop suddenly. Why is this medication prescribed? Clobazam is used with other medicines to help control seizures associated with Lennox Gastaut syndrome. How should this medicine be used? Take exactly as directed once or twice daily. You may take it with or without food. The oral suspension should be measured with an oral syringe. Tablets may be split along the score or crushed and mixed with soft food if needed. Do not increase your dose or use more often than prescribed. To stop therapy, your prescriber will taper the dose slowly to reduce the risk of withdrawal and seizures. What special precautions should I follow? Tell your doctor about all medicines and medical conditions including lung disease sleep apnea liver problems history of substance use depression or suicidal thoughts. Avoid alcohol and other medicines that make you drowsy. Risk of serious skin reactions such as Stevens Johnson syndrome or toxic epidermal necrolysis has been reported. Use extra caution if you are a CYP2C19 poor metabolizer or take CYP2C19 inhibitors as clobazam levels may increase. Do not drive or operate machinery until you know how it affects you. If pregnant planning pregnancy or breastfeeding discuss risks and benefits. What special dietary instructions should I follow? There are no specific dietary requirements. Avoid alcohol. Avoid grapefruit and grapefruit juice which may increase clobazam levels. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose. If it is near the time of the next dose skip the missed dose. Do not take two doses at once. If you miss more than one dose contact your prescriber. What side effects can this medication cause? Common effects include sleepiness tiredness drooling constipation cough fever poor coordination and irritability. Serious effects include slowed or difficult breathing severe drowsiness confusion skin rash or blistering suicidal thoughts unusual changes in mood or behavior withdrawal symptoms with abrupt stopping and allergic reactions. Seek urgent care for trouble breathing severe rash or thoughts of self harm."
Clobetasol Topical,Why is this medication prescribed? Clobetasol is a very high potency topical corticosteroid used short term to relieve redness itching and inflammation of steroid responsive skin conditions such as psoriasis and eczema. How should this medicine be used? Apply a thin layer to the affected skin twice daily or as directed. Gently rub in. Do not use on the face groin or underarms unless directed. Do not use in the diaper area or under occlusion unless your doctor instructs you. Avoid eyes mouth and broken skin. Wash hands after application. Limit total dose to the smallest amount needed and usually no more than two consecutive weeks. Do not exceed about fifty grams per week unless specifically directed. For scalp solution or foam apply the recommended amount to dry scalp and allow to dry. What special precautions should I follow? Prolonged use on large areas use under occlusion or use in children increases the risk of adrenal suppression skin thinning stretch marks and systemic effects. Stop and contact your doctor if local infection occurs worsening irritation happens or no improvement in two weeks. Use cautiously if you have diabetes poor circulation skin infections glaucoma or cataracts. Do not use if you are allergic to clobetasol or any ingredient. What special dietary instructions should I follow? No specific dietary restrictions are required. What should I do if I forget a dose? Apply it when you remember. If it is close to the next application skip the missed one and resume your schedule. Do not apply extra to make up for a missed dose. What side effects can this medication cause? Burning stinging itching dryness skin thinning acne like eruptions folliculitis hypopigmentation and stretch marks. More serious but less common effects include adrenal suppression high blood sugar glaucoma or cataracts if used near the eyes and signs of skin infection.
Clofarabine Injection,Important warning: Clofarabine can cause severe and sometimes fatal liver injury including hepatic failure and veno occlusive disease severe kidney toxicity and systemic inflammatory response and capillary leak syndrome with hypotension and organ dysfunction. It causes profound bone marrow suppression which increases the risk of serious infections and bleeding. Use only under the supervision of an experienced oncology clinician with close monitoring. Why is this medication prescribed? Clofarabine is a chemotherapy medicine used for relapsed or refractory acute lymphoblastic leukemia typically in pediatric and young adult patients who have received at least two prior regimens. How should this medicine be used? It is given by intravenous infusion in a medical setting often daily for five consecutive days per cycle. Dosing frequency and cycle length depend on response and blood count recovery. You will receive prehydration and medicines to prevent nausea infections and tumor lysis depending on risk. Lab tests will be checked frequently. What special precautions should I follow? Tell your care team about all conditions and medicines especially liver or kidney disease heart problems recent or ongoing infections and prior stem cell transplant. Clofarabine should not be given with uncontrolled infections or if liver or kidney tests are significantly abnormal unless the benefit outweighs the risks. Avoid live vaccines during and after treatment until your doctor says it is safe. Report fever chills shortness of breath dizziness rapid weight gain swelling decreased urine right upper abdominal pain yellowing of the skin or eyes unusual bleeding confusion severe rash or mouth sores right away. Use effective contraception during therapy and for the recommended time after the last dose because clofarabine can harm an unborn baby. What special dietary instructions should I follow? Stay well hydrated as instructed. Limit or avoid alcohol to reduce liver stress. Ask before using herbal or over the counter products. What should I do if I forget a dose? This medicine is administered by your healthcare team. If you miss an appointment contact your clinic immediately to reschedule. Do not attempt to self administer. What side effects can this medication cause? Nausea vomiting diarrhea abdominal pain mouth sores fatigue fever chills infections low white blood cells low platelets anemia rash itching swelling rapid weight gain low blood pressure elevated liver enzymes jaundice kidney problems capillary leak syndrome and tumor lysis syndrome. Seek urgent care for signs of infection bleeding allergic reactions breathing problems severe abdominal pain minimal urine output or yellowing of the skin or eyes.
Clomiphene,Why is this medication prescribed? Clomiphene is used to induce ovulation in women with certain types of infertility such as polycystic ovary syndrome. How should this medicine be used? A common regimen is 50 milligrams once daily for five days starting on about cycle day five or as directed. If ovulation does not occur your doctor may adjust the dose or timing in later cycles typically not exceeding 100 milligrams daily. Timed intercourse or insemination is usually recommended five to ten days after the last tablet. Do not take more than prescribed and do not use for more than the recommended number of cycles without reevaluation. What special precautions should I follow? Do not use if you are pregnant have liver disease abnormal uterine bleeding an ovarian cyst not due to polycystic ovary syndrome or uncontrolled thyroid or adrenal disorders. Risk of multiple pregnancy ovarian enlargement and rarely ovarian hyperstimulation exists. Stop and call your doctor for severe pelvic or abdominal pain rapid weight gain nausea vomiting or vision changes. Visual symptoms such as blurred vision or spots can occur and may be prolonged. Use caution driving if visual symptoms occur and stop the medicine until you are evaluated. Tell your doctor about a history of blood clots uterine fibroids or pituitary tumors. What special dietary instructions should I follow? No specific diet is required. Maintaining a healthy weight and taking prenatal folic acid when trying to conceive are recommended. Limit alcohol. What should I do if I forget a dose? Call your prescriber for instructions because timing is important for ovulation. Do not double up unless your clinician advises you to do so. What side effects can this medication cause? Hot flashes abdominal discomfort bloating breast tenderness nausea headache mood changes and visual disturbances. Less common but serious effects include ovarian hyperstimulation syndrome enlarged ovarian cysts blood clots and stroke like symptoms. Seek urgent care for severe pelvic pain shortness of breath severe headache or visual loss.
Clomipramine,Important warning: Antidepressants including clomipramine may increase the risk of suicidal thoughts and actions in children adolescents and young adults especially during the first few months of treatment or when the dose is changed. Close monitoring is required. Families and caregivers should watch for sudden changes in mood behaviors thoughts or feelings. Why is this medication prescribed? Clomipramine is a tricyclic antidepressant used to treat obsessive compulsive disorder. How should this medicine be used? Take exactly as directed usually starting with a low dose at bedtime and increasing gradually based on response and tolerability. It may be given in divided doses or once daily. Take with food if it upsets your stomach. Do not stop suddenly; your doctor will taper the dose to avoid withdrawal symptoms. What special precautions should I follow? Tell your doctor about heart disease arrhythmias prior heart attack seizures glaucoma urinary retention thyroid disease bipolar disorder liver problems and all medicines you take. Do not use with or within 14 days of monoamine oxidase inhibitors. Risk of serotonin syndrome increases with other serotonergic drugs. It can cause drowsiness dizziness orthostatic hypotension and blurred vision; use caution when driving. It may lower the seizure threshold and prolong the QT interval. Avoid alcohol. Discuss risks in pregnancy and breastfeeding. What special dietary instructions should I follow? There are no specific dietary restrictions. Avoid alcohol. If you use caffeine heavily discuss with your prescriber because it may worsen anxiety or insomnia. What should I do if I forget a dose? Take it when you remember unless it is close to your next dose. If it is almost time for the next dose skip the missed dose. Do not take two doses at once. If you miss several doses call your prescriber. What side effects can this medication cause? Dry mouth constipation blurred vision sweating tremor drowsiness dizziness weight gain nausea sexual dysfunction and difficulty urinating. Serious effects include fainting fast or irregular heartbeat seizures serotonin syndrome severe confusion jaundice and suicidal thoughts or behaviors. Seek urgent care for chest pain fainting seizures fever stiffness agitation or thoughts of self harm.
Clonazepam,Important warning: Clonazepam is a benzodiazepine. Taking it with opioids can cause extreme sleepiness slowed or difficult breathing coma and death. Benzodiazepines can cause misuse abuse addiction physical dependence and severe withdrawal including seizures. Do not stop suddenly. Why is this medication prescribed? Clonazepam is used to treat certain seizure disorders and to treat panic disorder. How should this medicine be used? Take exactly as prescribed once or twice daily. Orally disintegrating tablets should be allowed to dissolve on the tongue and then swallowed. You may take it with or without food. Do not change your dose or use it more often than directed. When discontinuing your prescriber will lower the dose gradually to reduce the risk of withdrawal and seizures. What special precautions should I follow? Tell your doctor about lung disease sleep apnea liver problems depression or suicidal thoughts substance use disorder and all medicines you take. Avoid alcohol and other sedatives. It may cause drowsiness dizziness and poor coordination; do not drive until you know its effects on you. Use caution in pregnancy and breastfeeding because it may harm the fetus and cause sedation or withdrawal in the newborn. Grapefruit may increase clonazepam levels. What special dietary instructions should I follow? There are no specific dietary requirements. Avoid alcohol and grapefruit products. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for your next dose. If it is near the time of the next dose skip the missed dose. Do not take two doses at once. If you miss several doses contact your prescriber. What side effects can this medication cause? Drowsiness dizziness fatigue poor coordination memory or concentration problems depression and irritability. Serious effects include slowed or difficult breathing severe sedation suicidal thoughts allergic reactions rash and withdrawal symptoms if stopped suddenly.
Clonidine,"Why is this medication prescribed? Clonidine is used to treat high blood pressure and certain formulations are used for attention deficit hyperactivity disorder. It may also be used for other conditions as directed by your clinician. How should this medicine be used? Take oral tablets exactly as directed usually twice daily. Extended release tablets are taken once daily at bedtime or as prescribed and should not be substituted milligram for milligram with immediate release. Transdermal patches are applied to a hairless area on the upper outer arm or chest and changed every seven days rotating sites. Do not stop clonidine suddenly because this can cause a rapid rise in blood pressure headache and agitation. Your doctor will taper the dose if it needs to be stopped. What special precautions should I follow? Tell your doctor about heart rhythm problems low blood pressure kidney disease stroke history depression and all medicines you take. It can cause drowsiness dizziness slow heart rate and low blood pressure. Use caution when driving and when standing up. Avoid alcohol and other medicines that cause sedation. Heat can increase absorption from patches. Remove the patch before an MRI if it contains metal. What special dietary instructions should I follow? No specific diet is required, but a heart healthy diet and consistent salt intake may help blood pressure control. Limit alcohol. What should I do if I forget a dose? For tablets take the missed dose when you remember unless it is close to the next dose then skip the missed dose. Do not take two doses at once. For patches if a patch falls off apply a new one to a different site and continue your regular schedule. If you forget to change the patch apply a new one as soon as you remember and start a new seven day cycle from that time. What side effects can this medication cause? Dry mouth drowsiness dizziness constipation fatigue headache and sleep problems. Patch related skin irritation or rash can occur. Serious effects include very low blood pressure slow heart rate fainting and severe rebound high blood pressure if stopped suddenly."
Clopidogrel,"Important warning: The effectiveness of clopidogrel depends on activation by CYP2C19. People who are CYP2C19 poor metabolizers may have reduced response and higher risk for heart attack stroke or stent thrombosis. Your doctor may consider genetic testing or alternative treatment. Avoid strong CYP2C19 inhibitors such as omeprazole and esomeprazole unless your prescriber recommends a plan. Why is this medication prescribed? Clopidogrel is an antiplatelet medicine used to reduce the chance of heart attack and stroke in people with recent heart attack recent stroke or established peripheral arterial disease and with aspirin for certain types of acute coronary syndrome and after stent placement. How should this medicine be used? Take exactly as directed usually 75 milligrams once daily. In some situations a loading dose is given at the start by your clinician. Take with or without food at the same time each day. Do not stop without talking to your doctor, especially after a stent, because stopping early can lead to a blood clot in the stent. What special precautions should I follow? Tell your doctor about bleeding disorders ulcers recent surgery liver disease and all medicines including over the counter drugs and supplements. Clopidogrel increases bleeding risk. Your doctor may tell you to stop it five days before surgery or dental procedures. Avoid combining with nonsteroidal anti inflammatory drugs and other blood thinners unless directed. Watch for signs of thrombotic thrombocytopenic purpura such as fever weakness confusion yellowing of skin or eyes and unusual bruising or tiny purple spots. What special dietary instructions should I follow? No specific diet is required. Limit alcohol to reduce bleeding risk. Ask your clinician before using herbal products that may affect bleeding. What should I do if I forget a dose? Take it as soon as you remember on the same day. If you do not remember until the next day skip the missed dose and take your regular dose. Do not take two doses at once. If you recently had a stent and missed a dose call your cardiology team for advice. What side effects can this medication cause? Easy bruising nosebleeds bleeding gums stomach upset diarrhea rash and itching. Serious effects include black or bloody stools vomiting blood coughing up blood severe headache dizziness weakness jaundice pale skin shortness of breath and signs of thrombotic thrombocytopenic purpura. Seek urgent care for uncontrolled bleeding or stroke or heart attack symptoms."
Clorazepate,Important warning: Clorazepate is a benzodiazepine. Taking it with opioids can cause extreme sleepiness slowed or difficult breathing coma and death. Benzodiazepines can cause misuse abuse addiction physical dependence and severe withdrawal. Do not stop suddenly. Why is this medication prescribed? Clorazepate is used to treat anxiety disorders and symptoms of alcohol withdrawal and as an add on for certain seizure disorders. How should this medicine be used? Take exactly as prescribed one to several times daily. You may take it with or without food. Do not increase your dose or take it more often than directed. When stopping your prescriber will lower the dose gradually to prevent withdrawal and seizures. What special precautions should I follow? Tell your doctor about lung disease sleep apnea liver or kidney problems depression or suicidal thoughts substance use disorder and all medicines you take. Avoid alcohol and other sedatives. It can cause drowsiness dizziness and impaired coordination; do not drive until you know how it affects you. Older adults are more sensitive to side effects. Discuss risks in pregnancy and breastfeeding. What special dietary instructions should I follow? There are no specific dietary requirements. Avoid alcohol. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose. If it is near the time of the next dose skip the missed dose. Do not take two doses at once. If you miss several doses contact your prescriber. What side effects can this medication cause? Drowsiness dizziness tiredness confusion blurred vision ataxia and memory problems. Serious effects include slowed or difficult breathing severe sedation jaundice allergic reactions paradoxical agitation and withdrawal symptoms if stopped suddenly.
Clotrimazole Lozenge,Why is this medication prescribed? Clotrimazole lozenges also called troches are used to treat yeast infections of the mouth and throat known as oropharyngeal candidiasis or thrush. How should this medicine be used? Dissolve one 10 milligram lozenge slowly in the mouth five times daily for 14 days or as prescribed. Move the lozenge around your mouth periodically to reduce local irritation. Do not chew or swallow whole and do not eat or drink while it is dissolving. Finish the full course even if symptoms improve. What special precautions should I follow? Tell your clinician if you have liver disease frequent mouth sores diabetes or difficulty swallowing and about all medicines you take. Use caution in young children who may choke on lozenges. If symptoms persist or recur after treatment contact your clinician to be evaluated for underlying conditions or need for alternative therapy. Maintain good oral hygiene and denture care to prevent reinfection. What special dietary instructions should I follow? No specific diet is required. Limiting sugary foods and drinks and rinsing the mouth after inhaled steroids can help prevent thrush. What should I do if I forget a dose? Take it as soon as you remember. If it is almost time for your next dose skip the missed dose and resume your schedule. Do not take two lozenges at the same time. What side effects can this medication cause? Temporary nausea vomiting diarrhea altered taste and mild mouth irritation. Rarely rash hives or abnormal liver tests may occur. Seek medical care for signs of an allergic reaction such as swelling trouble breathing or widespread rash.
Clotrimazole Topical,"Why is this medication prescribed? Clotrimazole topical is used to treat fungal skin infections such as athlete foot, jock itch, ringworm, cutaneous candidiasis, and tinea versicolor. How should this medicine be used? Clean and dry the affected area. Apply a thin layer to the affected skin and surrounding area as directed, usually two times daily for two to four weeks depending on the condition. Wash hands before and after use. Do not apply in the eyes, mouth, or vagina. Use for the full course even if symptoms improve. If treating athlete foot, pay special attention to spaces between toes and keep feet dry. What special precautions should I follow? Tell your clinician if you are allergic to clotrimazole or other antifungals. Do not use on broken or very irritated skin unless directed. Avoid occlusive dressings unless told to do so. If there is no improvement after two to four weeks or if the rash worsens, contact your clinician. Ask your clinician before use if you are pregnant or breastfeeding. Keep out of reach of children. What special dietary instructions should I follow? No special diet is needed. What should I do if I forget a dose? Apply as soon as you remember. If it is almost time for the next application, skip the missed dose. Do not apply extra to make up for a missed dose. What side effects can this medication cause? Mild burning, stinging, irritation, redness, itching, or dryness at the application site may occur. Stop use and seek medical advice for blistering, swelling, oozing, widespread rash, or signs of allergic reaction such as hives or trouble breathing."
Clotrimazole Vaginal,"Why is this medication prescribed? Clotrimazole vaginal products treat vaginal yeast infections caused by Candida. How should this medicine be used? Use the applicator to insert the tablet or cream deeply into the vagina, usually once daily at bedtime for the number of days directed by your product, commonly one, three, or seven day regimens. You may also apply a small amount of cream to the external vulvar area for itching if directed. Avoid douching and do not use tampons during therapy. You may use during your period but sanitary pads are preferred. Complete the full course even if you feel better. What special precautions should I follow? Use only if you have been told you have a yeast infection or if you have the typical symptoms you have had before. See a clinician if you have fever, lower abdominal pain, back or shoulder pain, foul smelling discharge, or if symptoms persist or recur frequently. Do not use if you are allergic to clotrimazole. Ask your clinician before use if pregnant or breastfeeding. Clotrimazole can weaken latex condoms and diaphragms during treatment and for a short time after use. What special dietary instructions should I follow? No special diet is needed. What should I do if I forget a dose? Insert the missed dose when you remember. If it is close to the time for your next dose, skip the missed dose and continue your regular schedule. Do not use two doses at once. What side effects can this medication cause? Mild vaginal burning, irritation, or itching, abdominal cramps, or increased urinary frequency may occur. Rarely, rash or hives can occur. Sexual partners may experience local irritation."
